hypothesis_index,hypothesis_id,family_id,cluster_id,expected_nested_pairs,valid_nested_pairs,cluster_effect_available,cluster_effect,cluster_worst_case_bound,cluster_best_case_bound
2,E1_STATIC__F22_MG_STATIC__VS__MATCHED_JDE_STYLE_PARETO__ANYTIME_NHV_AUC,E1_PRIMARY_ANYTIME,LIRCMOP4,10,10,true,0.043771901846630712,0.043771901846630712,0.043771901846630712
2,E1_STATIC__F22_MG_STATIC__VS__MATCHED_JDE_STYLE_PARETO__ANYTIME_NHV_AUC,E1_PRIMARY_ANYTIME,LIRCMOP5,10,10,true,0,0,0
2,E1_STATIC__F22_MG_STATIC__VS__MATCHED_JDE_STYLE_PARETO__ANYTIME_NHV_AUC,E1_PRIMARY_ANYTIME,LIRCMOP6,10,10,true,0.0016649555881676041,0.0016649555881676041,0.0016649555881676041
2,E1_STATIC__F22_MG_STATIC__VS__MATCHED_JDE_STYLE_PARETO__ANYTIME_NHV_AUC,E1_PRIMARY_ANYTIME,LIRCMOP7,10,10,true,-0.054925091681542582,-0.054925091681542582,-0.054925091681542582
2,E1_STATIC__F22_MG_STATIC__VS__MATCHED_JDE_STYLE_PARETO__ANYTIME_NHV_AUC,E1_PRIMARY_ANYTIME,LIRCMOP8,10,10,true,-0.024712357960287864,-0.024712357960287864,-0.024712357960287864
2,E1_STATIC__F22_MG_STATIC__VS__MATCHED_JDE_STYLE_PARETO__ANYTIME_NHV_AUC,E1_PRIMARY_ANYTIME,LIRCMOP9,10,10,true,-0.022014598681291735,-0.022014598681291735,-0.022014598681291735
3,E1_STATIC__F22_MG_STATIC__VS__MATCHED_SHADE_STYLE_PARETO__ANYTIME_NHV_AUC,E1_PRIMARY_ANYTIME,LIRCMOP1,10,10,true,0.014547566260228498,0.014547566260228498,0.014547566260228498
3,E1_STATIC__F22_MG_STATIC__VS__MATCHED_SHADE_STYLE_PARETO__ANYTIME_NHV_AUC,E1_PRIMARY_ANYTIME,LIRCMOP10,10,10,true,-0.01544995083397222,-0.01544995083397222,-0.01544995083397222
3,E1_STATIC__F22_MG_STATIC__VS__MATCHED_SHADE_STYLE_PARETO__ANYTIME_NHV_AUC,E1_PRIMARY_ANYTIME,LIRCMOP11,10,10,true,0.01748565108819659,0.01748565108819659,0.01748565108819659
3,E1_STATIC__F22_MG_STATIC__VS__MATCHED_SHADE_STYLE_PARETO__ANYTIME_NHV_AUC,E1_PRIMARY_ANYTIME,LIRCMOP12,10,10,true,0.013729369254198145,0.013729369254198145,0.013729369254198145
3,E1_STATIC__F22_MG_STATIC__VS__MATCHED_SHADE_STYLE_PARETO__ANYTIME_NHV_AUC,E1_PRIMARY_ANYTIME,LIRCMOP13,10,10,true,-0.0051015447152257592,-0.0051015447152257592,-0.0051015447152257592
3,E1_STATIC__F22_MG_STATIC__VS__MATCHED_SHADE_STYLE_PARETO__ANYTIME_NHV_AUC,E1_PRIMARY_ANYTIME,LIRCMOP14,10,10,true,-0.005900898879996638,-0.005900898879996638,-0.005900898879996638
3,E1_STATIC__F22_MG_STATIC__VS__MATCHED_SHADE_STYLE_PARETO__ANYTIME_NHV_AUC,E1_PRIMARY_ANYTIME,LIRCMOP2,10,10,true,0.013221778777723981,0.013221778777723981,0.013221778777723981
3,E1_STATIC__F22_MG_STATIC__VS__MATCHED_SHADE_STYLE_PARETO__ANYTIME_NHV_AUC,E1_PRIMARY_ANYTIME,LIRCMOP3,10,10,true,0.0035515892186198327,0.0035515892186198327,0.0035515892186198327
3,E1_STATIC__F22_MG_STATIC__VS__MATCHED_SHADE_STYLE_PARETO__ANYTIME_NHV_AUC,E1_PRIMARY_ANYTIME,LIRCMOP4,10,10,true,0.011320918305542067,0.011320918305542067,0.011320918305542067
3,E1_STATIC__F22_MG_STATIC__VS__MATCHED_SHADE_STYLE_PARETO__ANYTIME_NHV_AUC,E1_PRIMARY_ANYTIME,LIRCMOP5,10,10,true,0,0,0
