task_id,schedule_index,workload_id,unit_id,method_id,replicate_index,task_status,outcome_class,terminal_failure_event_count,terminal_code_counts_json,evaluation_failure_count,scheduled_cfe,charged_cfe,unconsumed_cfe,scheduled_atomic_model_steps,charged_atomic_model_steps,charged_work_exact,event_summary_trailing_fragment_present,event_summary_trailing_fragment_bytes,event_summary_trailing_fragment_sha256,wall_seconds,cpu_seconds,peak_rss_bytes,output_bytes,automatic_retries
r8c-0022-d6a8249e4bcb9eec,22,E1_STATIC,LIRCMOP1,JMETALPY_1_7_GDE3_STANDARD_PARETO_DE,3,COMPLETE,,0,"{""ACCEPTED"":1}",0,50000,50000,0,50000,50000,True,False,0,,14.316075534999982,12.438488158,108691456,42895,0
r8c-0023-cd4e231ce768d689,23,E1_STATIC,LIRCMOP1,JMETALPY_1_7_NSGAII_STATIC_CMOEA,3,COMPLETE,,0,"{""ACCEPTED"":1}",0,50000,50000,0,50000,50000,True,False,0,,15.368122887997743,13.168210105,108417024,42979,0
r8c-0024-14d2ad928ad974c1,24,E1_STATIC,LIRCMOP1,F22_MG_STATIC,4,COMPLETE,,0,"{""ACCEPTED"":1}",0,50000,50000,0,50000,50000,True,False,0,,12.255162752000615,10.333584746,97943552,42174,0
r8c-0025-f579752dd1e961b4,25,E1_STATIC,LIRCMOP1,MATCHED_FIXED_DE_PARETO,4,COMPLETE,,0,"{""ACCEPTED"":1}",0,50000,50000,0,50000,50000,True,False,0,,7.101597372999095,5.284667847,84275200,42566,0
r8c-0026-a254b85bd51614b7,26,E1_STATIC,LIRCMOP1,MATCHED_JDE_STYLE_PARETO,4,COMPLETE,,0,"{""ACCEPTED"":1}",0,50000,50000,0,50000,50000,True,False,0,,7.101749753997865,5.437193727,84824064,42566,0
r8c-0027-bed8dbb39bfd9b8b,27,E1_STATIC,LIRCMOP1,MATCHED_SHADE_STYLE_PARETO,4,COMPLETE,,0,"{""ACCEPTED"":1}",0,50000,50000,0,50000,50000,True,False,0,,8.163001947999874,5.947474398,85680128,42572,0
r8c-0028-862740c7cc080f0a,28,E1_STATIC,LIRCMOP1,JMETALPY_1_7_GDE3_STANDARD_PARETO_DE,4,COMPLETE,,0,"{""ACCEPTED"":1}",0,50000,50000,0,50000,50000,True,False,0,,15.36527902799935,12.66309093,110505984,42896,0
r8c-0029-7882c6de8781cfa4,29,E1_STATIC,LIRCMOP1,JMETALPY_1_7_NSGAII_STATIC_CMOEA,4,COMPLETE,,0,"{""ACCEPTED"":1}",0,50000,50000,0,50000,50000,True,False,0,,15.365474477999669,13.040532404,108703744,42980,0
r8c-0030-190eeebdf4df7a58,30,E1_STATIC,LIRCMOP1,F22_MG_STATIC,5,COMPLETE,,0,"{""ACCEPTED"":1}",0,50000,50000,0,50000,50000,True,False,0,,12.25156459000209,10.108839534,98770944,42171,0
r8c-0031-0c3e2dbd42304e3b,31,E1_STATIC,LIRCMOP1,MATCHED_FIXED_DE_PARETO,5,COMPLETE,,0,"{""ACCEPTED"":1}",0,50000,50000,0,50000,50000,True,False,0,,7.09884298399993,5.366186903999999,84279296,42569,0
r8c-0032-dfd1554c8e39b98f,32,E1_STATIC,LIRCMOP1,MATCHED_JDE_STYLE_PARETO,5,COMPLETE,,0,"{""ACCEPTED"":1}",0,50000,50000,0,50000,50000,True,False,0,,8.160097576997941,5.46617833,84824064,42562,0
r8c-0033-f2830a8f3af54f7c,33,E1_STATIC,LIRCMOP1,MATCHED_SHADE_STYLE_PARETO,5,COMPLETE,,0,"{""ACCEPTED"":1}",0,50000,50000,0,50000,50000,True,False,0,,8.160138007999194,5.997884924999999,85680128,42575,0
r8c-0034-8eedcdc8d919ef11,34,E1_STATIC,LIRCMOP1,JMETALPY_1_7_GDE3_STANDARD_PARETO_DE,5,COMPLETE,,0,"{""ACCEPTED"":1}",0,50000,50000,0,50000,50000,True,False,0,,14.307807916000456,12.525095951,108425216,42894,0
r8c-0035-251d6024c600d499,35,E1_STATIC,LIRCMOP1,JMETALPY_1_7_NSGAII_STATIC_CMOEA,5,COMPLETE,,0,"{""ACCEPTED"":1}",0,50000,50000,0,50000,50000,True,False,0,,15.361568526001065,12.899217869,108711936,42977,0
r8c-0036-09b77d0091e3aea0,36,E1_STATIC,LIRCMOP1,F22_MG_STATIC,6,COMPLETE,,0,"{""ACCEPTED"":1}",0,50000,50000,0,50000,50000,True,False,0,,12.247747817000345,10.456195821,97935360,42173,0
