task_id,schedule_index,workload_id,unit_id,method_id,replicate_index,task_status,endpoint_status,anytime_nhv_auc,final_nhv,transfer_early_auc,timeout_carried_forward_event_count
r8c-0032-dfd1554c8e39b98f,32,E1_STATIC,LIRCMOP1,MATCHED_JDE_STYLE_PARETO,5,COMPLETE,INCLUDED,0.18021138745155355,0.19852460904986882,,0
r8c-0033-f2830a8f3af54f7c,33,E1_STATIC,LIRCMOP1,MATCHED_SHADE_STYLE_PARETO,5,COMPLETE,INCLUDED,0.18541593026257716,0.2195154378593253,,0
r8c-0034-8eedcdc8d919ef11,34,E1_STATIC,LIRCMOP1,JMETALPY_1_7_GDE3_STANDARD_PARETO_DE,5,COMPLETE,INCLUDED,0.2406193782258623,0.2796194139326392,,0
r8c-0035-251d6024c600d499,35,E1_STATIC,LIRCMOP1,JMETALPY_1_7_NSGAII_STATIC_CMOEA,5,COMPLETE,INCLUDED,0.1927432375995544,0.19943663604065054,,0
r8c-0036-09b77d0091e3aea0,36,E1_STATIC,LIRCMOP1,F22_MG_STATIC,6,COMPLETE,INCLUDED,0.21316839809686727,0.23226118783765737,,0
r8c-0037-9f2b8b90384fe3a3,37,E1_STATIC,LIRCMOP1,MATCHED_FIXED_DE_PARETO,6,COMPLETE,INCLUDED,0.17728107468573165,0.24934898015703064,,0
r8c-0038-8f5e60d058952af2,38,E1_STATIC,LIRCMOP1,MATCHED_JDE_STYLE_PARETO,6,COMPLETE,INCLUDED,0.19134634534299097,0.20446714313348158,,0
r8c-0039-be84c5f5842b627f,39,E1_STATIC,LIRCMOP1,MATCHED_SHADE_STYLE_PARETO,6,COMPLETE,INCLUDED,0.21086418404962068,0.22437858696864732,,0
r8c-0040-1ac14a3e1c86696d,40,E1_STATIC,LIRCMOP1,JMETALPY_1_7_GDE3_STANDARD_PARETO_DE,6,COMPLETE,INCLUDED,0.18287867098007296,0.2467895306671356,,0
r8c-0041-59a42ec799a68e56,41,E1_STATIC,LIRCMOP1,JMETALPY_1_7_NSGAII_STATIC_CMOEA,6,COMPLETE,INCLUDED,0.18590115232593624,0.21063492307647375,,0
r8c-0042-6bc369440ae5a463,42,E1_STATIC,LIRCMOP1,F22_MG_STATIC,7,COMPLETE,INCLUDED,0.2152996516585744,0.2340708468618778,,0
r8c-0043-57d1b22ba5ee3760,43,E1_STATIC,LIRCMOP1,MATCHED_FIXED_DE_PARETO,7,COMPLETE,INCLUDED,0.21164483120673025,0.26303877679836274,,0
r8c-0044-d4ed0c767221a913,44,E1_STATIC,LIRCMOP1,MATCHED_JDE_STYLE_PARETO,7,COMPLETE,INCLUDED,0.13848897989984438,0.14972008137436674,,0
r8c-0045-886744a502293570,45,E1_STATIC,LIRCMOP1,MATCHED_SHADE_STYLE_PARETO,7,COMPLETE,INCLUDED,0.22745604832660768,0.24644540664745923,,0
r8c-0046-26f4b776291f8d9d,46,E1_STATIC,LIRCMOP1,JMETALPY_1_7_GDE3_STANDARD_PARETO_DE,7,COMPLETE,INCLUDED,0.24128533972627625,0.2561861053936042,,0
r8c-0047-c565901e413d8e6c,47,E1_STATIC,LIRCMOP1,JMETALPY_1_7_NSGAII_STATIC_CMOEA,7,COMPLETE,INCLUDED,0.18899425841633866,0.19718098182855112,,0
r8c-0048-08fc622f5903da35,48,E1_STATIC,LIRCMOP1,F22_MG_STATIC,8,COMPLETE,INCLUDED,0.24496392135999506,0.25532604425693434,,0
r8c-0049-6de25f5646bd1737,49,E1_STATIC,LIRCMOP1,MATCHED_FIXED_DE_PARETO,8,COMPLETE,INCLUDED,0.24328155712168836,0.25475831207694066,,0
r8c-0050-43636230d18f372e,50,E1_STATIC,LIRCMOP1,MATCHED_JDE_STYLE_PARETO,8,COMPLETE,INCLUDED,0.2154573749765741,0.2265111548690756,,0
r8c-0051-77be4beead5b1571,51,E1_STATIC,LIRCMOP1,MATCHED_SHADE_STYLE_PARETO,8,COMPLETE,INCLUDED,0.21053274563843563,0.23452491488989788,,0
r8c-0052-3dfd34c7f2f6de79,52,E1_STATIC,LIRCMOP1,JMETALPY_1_7_GDE3_STANDARD_PARETO_DE,8,COMPLETE,INCLUDED,0.2348822732550666,0.2896417566364951,,0
r8c-0053-ef79ababd4fb60cf,53,E1_STATIC,LIRCMOP1,JMETALPY_1_7_NSGAII_STATIC_CMOEA,8,COMPLETE,INCLUDED,0.23906783749891444,0.2493239948531768,,0
r8c-0054-7244623785db0ec2,54,E1_STATIC,LIRCMOP1,F22_MG_STATIC,9,COMPLETE,INCLUDED,0.24699056849814244,0.2591936171702408,,0
r8c-0055-b1088d7183b6d9d4,55,E1_STATIC,LIRCMOP1,MATCHED_FIXED_DE_PARETO,9,COMPLETE,INCLUDED,0.20015728198658117,0.23696663121009176,,0
r8c-0056-56b28cd4fda51dca,56,E1_STATIC,LIRCMOP1,MATCHED_JDE_STYLE_PARETO,9,COMPLETE,INCLUDED,0.17779032683890095,0.18302035944380524,,0
r8c-0057-d7f139c65cc51a75,57,E1_STATIC,LIRCMOP1,MATCHED_SHADE_STYLE_PARETO,9,COMPLETE,INCLUDED,0.21875073073411164,0.23700918951146885,,0
r8c-0058-c233bed2ce56f797,58,E1_STATIC,LIRCMOP1,JMETALPY_1_7_GDE3_STANDARD_PARETO_DE,9,COMPLETE,INCLUDED,0.19870707394100143,0.25238248080066605,,0
r8c-0059-d4c25ea36d4237cf,59,E1_STATIC,LIRCMOP1,JMETALPY_1_7_NSGAII_STATIC_CMOEA,9,COMPLETE,INCLUDED,0.15056350204389088,0.1598119932929316,,0
r8c-0060-5f3a8612b4321503,60,E1_STATIC,LIRCMOP2,F22_MG_STATIC,0,COMPLETE,INCLUDED,0.4473068455143274,0.4863501996257593,,0
r8c-0061-daafe7a8c90828f1,61,E1_STATIC,LIRCMOP2,MATCHED_FIXED_DE_PARETO,0,COMPLETE,INCLUDED,0.4049899495003837,0.446640621949987,,0
r8c-0062-8270c0ce56a35179,62,E1_STATIC,LIRCMOP2,MATCHED_JDE_STYLE_PARETO,0,COMPLETE,INCLUDED,0.4564500488097939,0.4912561934942252,,0
r8c-0063-6ccc7e38b536fc29,63,E1_STATIC,LIRCMOP2,MATCHED_SHADE_STYLE_PARETO,0,COMPLETE,INCLUDED,0.44574010101383266,0.4836077787807894,,0
r8c-0064-2cb186732520cee1,64,E1_STATIC,LIRCMOP2,JMETALPY_1_7_GDE3_STANDARD_PARETO_DE,0,COMPLETE,INCLUDED,0.42305165591512645,0.49977110256840485,,0
r8c-0065-ecab925ba6b60e5a,65,E1_STATIC,LIRCMOP2,JMETALPY_1_7_NSGAII_STATIC_CMOEA,0,COMPLETE,INCLUDED,0.40654255638303993,0.4259678849789625,,0
r8c-0066-595349937ce7d7eb,66,E1_STATIC,LIRCMOP2,F22_MG_STATIC,1,COMPLETE,INCLUDED,0.48301374236039646,0.4983193540759328,,0
r8c-0067-29f1f48f05f9cd82,67,E1_STATIC,LIRCMOP2,MATCHED_FIXED_DE_PARETO,1,COMPLETE,INCLUDED,0.467341536239059,0.5523989642058168,,0
r8c-0068-530b866e315e49de,68,E1_STATIC,LIRCMOP2,MATCHED_JDE_STYLE_PARETO,1,COMPLETE,INCLUDED,0.4114565329216381,0.45308184002312085,,0
r8c-0069-2a2955a2d23f95e4,69,E1_STATIC,LIRCMOP2,MATCHED_SHADE_STYLE_PARETO,1,COMPLETE,INCLUDED,0.44407607723024806,0.4901660239190964,,0
r8c-0070-08131eab5bf90513,70,E1_STATIC,LIRCMOP2,JMETALPY_1_7_GDE3_STANDARD_PARETO_DE,1,COMPLETE,INCLUDED,0.38172721698963097,0.4834636238157903,,0
r8c-0071-b3b37a816eb17035,71,E1_STATIC,LIRCMOP2,JMETALPY_1_7_NSGAII_STATIC_CMOEA,1,COMPLETE,INCLUDED,0.4020328015028146,0.41941102522942036,,0
r8c-0072-c1b0864007e13395,72,E1_STATIC,LIRCMOP2,F22_MG_STATIC,2,COMPLETE,INCLUDED,0.4378735452872335,0.45302367291817286,,0
