workload_id,unit_id,replicate_index,full_task_id,full_method_id,comparator_task_id,comparator_method_id,pair_status,negative_transfer_rate,negative_transfer_event_count,paired_post_initial_event_count,strict_difference_threshold
E2_DYNAMIC_INCREMENTAL_AFTER_FULL_REUSE,CDF1/CDF-HARSH,2,r8c-0852-ebcb5677f447785c,DT-RAMDE_TS2_FULL,r8c-2718-39d49ca63833895e,CROSS_EVENT_WARM_START_ONLY,INCLUDED,0.15254237288135594,9,59,-0.01
E2_DYNAMIC_INCREMENTAL_AFTER_FULL_REUSE,CDF1/CDF-HARSH,2,r8c-0852-ebcb5677f447785c,DT-RAMDE_TS2_FULL,r8c-2719-02f4a4f3d17e6d14,CROSS_EVENT_MEMORY_ONLY,INCLUDED,0.0,0,59,-0.01
E2_DYNAMIC_INCREMENTAL_AFTER_FULL_REUSE,CDF1/CDF-HARSH,2,r8c-0852-ebcb5677f447785c,DT-RAMDE_TS2_FULL,r8c-2720-96047d21270eaf0c,SHADE_ONLY,INCLUDED,0.0,0,59,-0.01
E2_DYNAMIC_INCREMENTAL_AFTER_FULL_REUSE,CDF1/CDF-HARSH,3,r8c-0858-53e1e25111304346,DT-RAMDE_TS2_FULL,r8c-2721-75cc9bf7d52300c0,NO_CROSS_EVENT_MEMORY,INCLUDED,0.0,0,59,-0.01
E2_DYNAMIC_INCREMENTAL_AFTER_FULL_REUSE,CDF1/CDF-HARSH,3,r8c-0858-53e1e25111304346,DT-RAMDE_TS2_FULL,r8c-2722-29d6b414308d00f3,NO_REJECTION_CREDIT,INCLUDED,0.1864406779661017,11,59,-0.01
E2_DYNAMIC_INCREMENTAL_AFTER_FULL_REUSE,CDF1/CDF-HARSH,3,r8c-0858-53e1e25111304346,DT-RAMDE_TS2_FULL,r8c-2723-d0b2880208e08de6,NO_MEMORY_RESET_GATE,INCLUDED,0.2542372881355932,15,59,-0.01
E2_DYNAMIC_INCREMENTAL_AFTER_FULL_REUSE,CDF1/CDF-HARSH,3,r8c-0858-53e1e25111304346,DT-RAMDE_TS2_FULL,r8c-2724-11dc443205c0bf52,NO_LINEAGE_CREDIT,INCLUDED,0.23728813559322035,14,59,-0.01
E2_DYNAMIC_INCREMENTAL_AFTER_FULL_REUSE,CDF1/CDF-HARSH,3,r8c-0858-53e1e25111304346,DT-RAMDE_TS2_FULL,r8c-2725-1ad191b3b4d14162,CROSS_EVENT_WARM_START_ONLY,INCLUDED,0.13559322033898305,8,59,-0.01
E2_DYNAMIC_INCREMENTAL_AFTER_FULL_REUSE,CDF1/CDF-HARSH,3,r8c-0858-53e1e25111304346,DT-RAMDE_TS2_FULL,r8c-2726-8d538f99d246e212,CROSS_EVENT_MEMORY_ONLY,INCLUDED,0.0,0,59,-0.01
E2_DYNAMIC_INCREMENTAL_AFTER_FULL_REUSE,CDF1/CDF-HARSH,3,r8c-0858-53e1e25111304346,DT-RAMDE_TS2_FULL,r8c-2727-832669f29f180401,SHADE_ONLY,INCLUDED,0.0,0,59,-0.01
